bn_word	italian_word
জীবনের	vita
মাঝপথে	mezzo
আমি	mi
নিজেকে	mi
গহিন	oscura
অরণ্যে	selva
কারণ	ché
সরল	diritta
পথ	via
হারায়ে	smarrita
গেছিল	smarrita
হায়	ahi
কথা	cosa
বলা	dir
কঠিন	dura
বন	selva
ঘন	forte
বন্ধুর	aspra
বর্বর	selvaggia
ভয়	paura
আবার	rinova
ফিরে	rinova
আসে	rinova
মৃত্যুও	morte
তিক্ত	amara
বেশি	più
সেখানে	vi
ভালো	ben
পাইছি	trovai
বলব	dirò
দেখছি	scorte
জানি	so
না	non
গভীর	pien
ঘুমে	sonno
বিভোর	pien
ছিলাম	era
সত্য	verace
উপত্যকা	valle
হৃদয়	cor
ভয়ে	paura
বিদ্ধ	compunto
গ্রহের	pianeta
সোজা	dritto
পথে	calle
কিছুটা	poco
হ্রদে	lago
হৃদয়ের	cor
রাত	notte
কাটাইছিলাম	passai
পিছু	dietro
ক্ষিপ্র	presta
চিতাবাঘ	lonza
চামড়ায়	pel
সামনে	volto
সূর্য	sol
তারা	stelle
সিংহ	leone
খিদার	fame
জন্তু	bestia
নীরবতার	silenzio
মানুষ	omo
করুণা	miserere
বাবা	parenti
লোম্বার্দির	lombardi
দেরিতে	tardi
রোমে	roma
অগাস্টাসের	augusto
মিথ্যা	falsi
মিথ্যুক	bugiardi
দেবতাদের	dèi
কবি	poeta
গেয়েছিলাম	cantai
ট্রয়	troia
আনন্দের	gioia
উৎস	principio
সম্মান	onore
আলো	lume
গুরু	maestro
লেখক	autore
ধমনি	vene
শিরা	vene
বিকম্পিত	tremar
প্রকৃতি	natura
প্রজ্ঞা	sapïenza
প্রেম	amore
চিরস্থানে	etterno
দ্বিতীয়	seconda
খোদার	dio
বিধান	legge
নগরে	città
রাজধানী	città
আরশ	seggio
ক্ষতি	male
আমাদের	nostra
নিচে	basso
উদ্ধার	salute
ক্ষণ	tempo
তুমি	tu
তোমাকে	ti
যে	che
যা	che
সবখানে	tutte
সেই	quella
এক	una
উপরে	sù
তখন	allor
ছিল	era
শুনবে	udirai
দেখবে	vedrai
চোখের	occhi
অদেখা	conoscesti
শ্রান্ত	lasso
শ্রান্তি	lasso
সৌভাগ্য	felice
চলেন	meni
সাথে	con
জন্য	per
তার	sua
তাঁর	sua
দর্পী	superbo
ইতিমধ্যে	già
চেয়ে	più
আরো	più
উঠতে	salire
ক্ষীণ	fioco
হব	sarò
তবুও	ma
তবে	ma
কিন্তু	ma
পরে	poi
ও	e
আর	e
যার	cui
তোমার	tuo
ফটকের	porta
বিরোধী	ribellante
কাঁধ	spalle
এত	tanto
মিষ্টি	dolce
প্রত্যেক	ogne
তা	lo
উত্তর	rispuose
থেকে	da
কখনো	mai
আমার	mio
যেখানে	dove
ইতালি	italia
আগে	prima
দেখলাম	vidi
নির্বাক	tace
অনুরোধ	richeggio
মহারাজ	imperador
ভার্জিল	virgilio
জুলিয়াসের	iulio
ইউরিয়ালুস	eurialo
তুর্নুস	turno
নিসুস	niso
ফেল্টের	feltro
পিটারের	pietro
